image_file,caption
000000013348.jpg,A large jetliner sitting on top of an airport tarmac.
000000037689.jpg,A man flying through the air while riding a snowboard.
000000074200.jpg,A display of surfboards and a chalk board.
000000095862.jpg,A group of people watching a baseball game.
000000087476.jpg,A man teaching a child how to ride a skateboard.
000000007108.jpg,A herd of elephants walking across a dirt field.
000000023023.jpg,A suitcase and two bags sitting on the floor.
000000014831.jpg,a close up of a cat's fur 
000000106235.jpg,A living room filled with furniture and a large window.
000000110999.jpg,A painting of a man in a hat next to a basket of fruit.
000000108026.jpg,A person using a computer keyboard and a remote control.
000000071226.jpg,Two dogs and a cat sleeping on a bed.
000000064898.jpg,Two young boys on boogie boards in the ocean.
000000096493.jpg,A little boy sitting on a couch with a remote.
000000047769.jpg,A living room filled with furniture and a flat screen TV.
000000001675.jpg,A black and white cat laying on top of a laptop.
000000018519.jpg,A man riding a skateboard up the side of a ramp.
000000023666.jpg,A bathroom with a toilet and a bathtub.
000000007888.jpg,A black and white photo of a clock tower.
000000027696.jpg,A pizza on a plate with a fork and knife.
000000091495.jpg,A baseball player sliding into home plate during a game.
000000076417.jpg,A dog sticking its head out of a car window.
000000051008.jpg,A cat is looking at a computer screen.
000000079588.jpg,A group of people walking in front of a large building.
000000088951.jpg,A man sitting on a bench next to a dog.
000000113720.jpg,A man and a woman sitting at a table with pizza.
000000050006.jpg,A group of boats docked at a marina.
000000039480.jpg,A woman holding a tennis racquet on a tennis court.
000000048924.jpg,A motorcycle parked in a field next to a tent.
000000090956.jpg,A person skiing down a snow covered ski slope.
000000081061.jpg,"A couch, chair, and suitcase are sitting on the grass."
000000004134.jpg,A couple of men shaking hands in a room.
000000034873.jpg,A kitchen with a sink and a counter top.
000000035682.jpg,A man sitting at a table eating a donut.
000000085478.jpg,Two polar bears are swimming in the water.
000000115885.jpg,A laptop computer sitting on top of a bed.
000000025181.jpg,A black and white photo of a train station.
000000009891.jpg,A couple of men loading luggage into a white car.
000000054654.jpg,A woman standing in a kitchen holding a plate of food.
000000073118.jpg,Two teddy bears sitting next to each other.
000000017031.jpg,a close up of a giraffe with trees in the background
000000008532.jpg,A man in a blue shirt and red tie.
000000104198.jpg,A red stop sign sitting next to a white building.
000000073702.jpg,A couple of men standing next to each other.
000000017627.jpg,A city street filled with lots of parked cars.
000000019786.jpg,A couple of men standing next to each other.
000000100723.jpg,A crowd of people holding signs and walking down a street.
000000019924.jpg,A woman wearing a hat smoking a cigarette.
000000099053.jpg,A bowl of noodles with meat and vegetables.
000000001761.jpg,Two planes flying over a bridge over a body of water.
000000114907.jpg,A woman standing next to a cow in front of a crowd.
000000057760.jpg,A group of people standing on a beach next to the ocean.
000000068833.jpg,A kitchen with a bar stool in the middle of it.
000000110282.jpg,A traffic light sitting on top of a metal pole.
000000027768.jpg,A white and red bus driving down a street.
000000061171.jpg,A group of cows and a horse eating hay.
000000075612.jpg,A group of young men standing next to each other.
000000025603.jpg,A young girl sitting at a table with a slice of pizza.
000000042070.jpg,A white and blue bus driving down a street.
000000047571.jpg,Two people are riding on a horse drawn carriage.
000000088345.jpg,A woman standing in a room with a clock behind her.
000000042296.jpg,A polar bear playing with balls in the water.
000000019742.jpg,A glass vase sitting on top of a table next to a candle.
000000109118.jpg,A black and white photo of three baseball players.
000000090631.jpg,A yellow and red fighter jet flying through a blue sky.
000000079408.jpg,A black and white photo of a stop sign.
000000069795.jpg,A blue watering can filled with purple flowers.
000000002592.jpg,A coffee cup with a skull and crossbones on it next to a knife.
000000107851.jpg,A group of people riding on the backs of elephants.
000000023034.jpg,A man riding on the back of a brown horse.
000000000872.jpg,A baseball player running to first base during a game.
000000048555.jpg,A group of people riding on the backs of horses.
000000021167.jpg,A man and a woman standing next to each other.
000000045550.jpg,A man holding a plate with a sandwich and fries.
000000093154.jpg,A city street with cars and signs on it.
000000100238.jpg,A group of people standing next to each other holding frisbees.
000000041635.jpg,A group of cows sitting in a field behind a wire fence.
000000113235.jpg,A brown and white llama eating a carrot.
000000080932.jpg,A little boy eating a slice of pizza.
000000109441.jpg,A large glass building on a city street.
000000086755.jpg,A couple of people riding skis down a snow covered slope.
000000085157.jpg,A group of people sitting around a table eating.
000000053909.jpg,A person holding a cell phone in their hand.
000000070158.jpg,Three zebras are standing in the dirt. 
000000047010.jpg,Three giraffes walking in a dirt area next to a pond.
000000102707.jpg,A glass bottle sitting on top of a counter next to a glass.
000000042528.jpg,A person holding a cell phone next to a chair.
000000098392.jpg,A tall clock tower sitting in the middle of a street.
000000013774.jpg,A man standing on top of a beach next to the ocean.
000000078843.jpg,A man kissing a woman on the forehead.
000000113403.jpg,A white teddy bear and two brown teddy bears on a bed.
000000032901.jpg,A group of men standing next to each other.
000000104603.jpg,A black bear walking through a lush green field.
000000003255.jpg,A group of people standing on top of a snow covered slope.
000000007088.jpg,A little girl standing in the rain holding an umbrella.
000000047585.jpg,A bride and groom standing under an umbrella.
000000001000.jpg,A group of people standing on top of a tennis court.
000000035279.jpg,A man laying on the floor next to a laptop computer.
000000080340.jpg,A young boy in a tie pulling a suitcase.
000000118367.jpg,A person holding a hot dog in their hand.
000000057672.jpg,A group of people rowing a long boat on a river.
000000091406.jpg,A group of women standing in front of boxes of pizza.
000000063602.jpg,A laptop computer sitting on top of a white desk.
000000038070.jpg,A white toilet sitting inside of a bathroom next to a trash can.
000000025393.jpg,Two men walking down a street at night.
000000082696.jpg,A bird walking around a table and chairs.
000000016451.jpg,Two surfboards and a towel on a beach.
000000063965.jpg,A woman holding a plate with a piece of cake on it.
000000051738.jpg,A hotel room with a large bed and a blue chair.
000000002431.jpg,A white plate topped with food next to a glass of wine.
000000099024.jpg,A man sitting on the floor working on a kite.
000000066841.jpg,A toaster sitting on top of a kitchen counter.
000000022623.jpg,a close up of a cell phone on a table
000000068286.jpg,A large bed sitting in a bedroom between two nightstands.
000000044652.jpg,A small airplane flying through a cloudy sky.
000000051712.jpg,A man riding skis down a snow covered slope.
000000024027.jpg,A kite flying in the sky over a park.
000000015079.jpg,A sandwich cut in half on a plate with a knife.
000000000632.jpg,"A bedroom with a bed, dresser, mirror and bookcase."
000000015254.jpg,A tray with four different types of food in it.
000000031735.jpg,A living room with a blue couch and red walls.
000000025424.jpg,A man swinging a tennis racquet at a tennis ball.
000000080022.jpg,A man standing on a tennis court holding a racquet.
000000089078.jpg,A woman riding a snowboard down a snow covered slope.
000000007784.jpg,A red and white kite flying through a blue sky.
000000089045.jpg,A living room filled with furniture and a piano.
000000015746.jpg,A red and black fire hydrant sitting in the grass.
000000084270.jpg,A group of people walking through an airport with luggage.
000000059598.jpg,A laptop computer sitting on top of a table next to a banana.
000000115946.jpg,A green traffic light hanging over a city street.
000000060886.jpg,A group of baseball players standing on top of a field.
000000055002.jpg,A stainless steel toilet in a tiled bathroom.
000000011122.jpg,A stop sign that is behind a fence.
000000080153.jpg,A man on skis with a dog on a leash.
000000012120.jpg,A group of people playing a game of tennis.
000000021604.jpg,A man wearing a suit and tie with lights on it.
000000104803.jpg,A toilet that is covered in silver glitter.
000000100274.jpg,A long white train traveling down train tracks.
000000114884.jpg,A woman standing in front of a line of buses.
000000040757.jpg,A small child laying in bed with a pacifier in his mouth.
000000042178.jpg,A train yard filled with lots of train cars.
000000010363.jpg,A cat standing on the hood of a black car.
000000089697.jpg,A man and a woman sitting on a park bench.
000000017178.jpg,A group of horses walking down a street.
000000033104.jpg,A group of people standing on top of a snow covered slope.
000000030785.jpg,A plate with a bowl of broccoli and a piece of bread with guacamole.
000000016502.jpg,A sheep standing on top of a large rock.
000000070739.jpg,A couple of women sitting next to each other.
000000030504.jpg,A person on skis in the snow with a backpack.
000000084477.jpg,A white lawn chair sitting on top of a sandy beach.
000000028285.jpg,A white clock tower sitting on top of a roof.
000000064462.jpg,A woman on skis standing in the snow.
000000096825.jpg,A man skiing down a snow covered slope.
000000003661.jpg,A bunch of bananas sitting on top of a wooden table.
000000003501.jpg,A white plate topped with rice and vegetables.
000000058029.jpg,"A bathroom with a toilet, sink and shower stall."
000000092839.jpg,A large white polar bear laying on top of a rock.
000000049259.jpg,A man sitting on the edge of the water near a closed sign.
000000001993.jpg,"A room with a bed, table and chairs."
000000036660.jpg,A broken cell phone sitting on top of a wooden floor.
000000102331.jpg,A person on a dirt bike in the air.
000000037740.jpg,A desk with a computer and a laptop on it.
000000091779.jpg,Three hot dogs with chili and peppers on a tray.
000000082085.jpg,A blue and yellow train traveling down train tracks.
000000113867.jpg,A tall brick tower with a clock on it's side.
000000084431.jpg,A slice of pizza sitting on top of a plate.
000000018737.jpg,A red motorcycle parked on the side of a road.
000000056350.jpg,A picture of a group of people on the floor.
000000104572.jpg,A bathroom with orange and gray tiles on the walls.
000000048504.jpg,A couple of elephants standing next to each other.
000000070048.jpg,A table topped with a sandwich and a bowl of soup.
000000096960.jpg,A polar bear swimming in the water next to rocks.
000000087742.jpg,A glass vase filled with peacock feathers sitting on a table.
000000068078.jpg,A small dog standing in a bathroom next to a toilet.
000000066926.jpg,A white plate topped with lots of glazed donuts.
000000011149.jpg,A man standing next to a motorcycle and two bicycles.
000000094614.jpg,A man riding skis down a snow covered slope.
000000107094.jpg,A man standing on top of a snow covered slope.
000000029187.jpg,A person riding a horse drawn carriage on a track.
000000028993.jpg,A row of fire hydrants sitting on the side of a road.
000000039769.jpg,Two cats sleeping on a pink blanket next to remotes.
000000008690.jpg,Two young girls petting a goat in a pen.
000000060932.jpg,A man in a tuxedo holding up a wedding garter.
000000009914.jpg,"A plate with a hamburger, fries and ketchup."
000000078959.jpg,A bunch of bananas hanging from a banana tree.
000000039477.jpg,A living room filled with furniture and a flat screen TV.
000000039956.jpg,A messy room with a bed and a chair.
000000055022.jpg,A bunch of bikes that are on a wooden floor.
000000059635.jpg,A black and white photo of a surfer catching a wave.
000000032334.jpg,A man and a woman holding up wine glasses.
000000061747.jpg,A woman standing on top of a snow covered slope.
000000038678.jpg,A woman sitting on a train holding a bagel.
000000045090.jpg,A group of people riding surfboards on top of a wave.
000000032811.jpg,A bird sitting on a window sill looking out at the water.
000000012280.jpg,A man walking through an airport with a suitcase.
000000065798.jpg,A baseball player holding a bat on top of a field.
000000052507.jpg,A man walking into the ocean with a yellow surfboard.
000000085665.jpg,A kite that is flying in the sky.
000000077595.jpg,A cat laying on a bed next to a laptop computer.
000000075393.jpg,A display case filled with wooden utensils and other items.
000000009772.jpg,A man taking a picture of a bathroom mirror.
000000078404.jpg,A group of women sitting on top of a bench.
000000108864.jpg,A couple of elephants that are standing in the grass.
000000011699.jpg,Two women standing next to each other with a suitcase.
000000110884.jpg,"A bathroom with a sink, toilet and mirror."
000000025096.jpg,A young boy cutting a birthday cake with a hammer.
000000051326.jpg,Three carved pumpkins with faces carved into them.
000000019109.jpg,A row of motorcycles parked in front of a building.
000000027186.jpg,A little girl standing in front of a couch holding a game controller.
000000002149.jpg,A white bowl filled with green apples on top of a table.
000000105264.jpg,A group of young men playing with a cow on a beach.
000000092416.jpg,A man in a suit and tie holding a beer.
000000025593.jpg,A street sign with a reflection of a man and a child on it.
000000098520.jpg,A large jetliner sitting on top of an airport runway.
000000098287.jpg,A young man holding a baseball bat on top of a field.
000000002923.jpg,A couple of birds standing on top of a lush green field.
000000019402.jpg,A man and a woman are wearing winter coats.
000000020571.jpg,A couple of boats that are sitting in the water.
000000094944.jpg,A group of people on skis and snowboards in the snow.
000000063552.jpg,An orange cat sitting in front of a mirror.
000000006818.jpg,A white toilet sitting in a bathroom next to a window.
000000118594.jpg,A longhorn steer with long horns grazing in a field.
000000050844.jpg,A couple of stuffed animals sitting next to each other.
000000055072.jpg,A giraffe standing in a field next to a bush.
000000116206.jpg,"A cutting board with chopped carrots, celery, and onions."
000000058705.jpg,A man holding a banana next to a woman wearing a hat.
000000032081.jpg,A woman in a white dress playing tennis.
000000057238.jpg,A white refrigerator freezer sitting inside of a kitchen.
000000079651.jpg,Three bottles of beer next to two bananas.
000000107087.jpg,A cat sitting in the passenger seat of a car.
000000026465.jpg,A laptop computer sitting on top of a white table.
000000057244.jpg,A large metal object sitting on top of a train track.
000000088848.jpg,A group of people standing next to a yellow fire hydrant.
000000044068.jpg,A brown teddy bear sitting on top of a wooden chair.
000000029596.jpg,A living room filled with furniture and a flat screen TV.
000000007977.jpg,A man riding a skateboard on top of a cement floor.
000000021903.jpg,A man feeding an elephant with a stick.
000000098633.jpg,A white cake with strawberries on top of it.
000000048153.jpg,A woman's foot wearing a pink shoe and jeans.
000000018150.jpg,A man sitting next to a little boy eating pizza.
000000039551.jpg,A female tennis player in action on the court.
000000000802.jpg,A white refrigerator freezer sitting inside of a kitchen.
000000091500.jpg,Two men sitting in chairs playing a video game.
000000010092.jpg,A bedroom with a bed covered in a green net.
000000017379.jpg,A bathroom with two sinks and a television mounted to the wall.
000000104119.jpg,A rooster standing in the middle of a field.
000000114871.jpg,A white plate topped with a banana and cheese.
000000069224.jpg,A man and woman sitting at a table eating donuts.
000000112634.jpg,A giraffe standing next to a stone wall.
000000031620.jpg,A bride and groom cutting their wedding cake.
000000025394.jpg,A man standing at a bar pouring wine into a glass.
000000105249.jpg,A white toilet sitting next to a white sink.
000000091654.jpg,A bowl filled with noodles and meat with chopsticks.
000000085682.jpg,A group of people standing on top of a snow covered slope.
000000033221.jpg,A group of people standing on top of a sandy beach.
000000092177.jpg,A blue birthday cake with a beach scene on it.
000000091921.jpg,A zebra standing next to another zebra laying on the ground.
000000032285.jpg,"A bathroom with a toilet, tub, and closet."
000000016010.jpg,A herd of wild animals grazing on a lush green field.
000000050896.jpg,A glass bowl filled with oranges on top of a table.
000000064499.jpg,A group of zebras standing next to each other.
000000026564.jpg,A desktop computer sitting on top of a desk.
000000081394.jpg,A truck parked on the side of a street.
000000087038.jpg,A skateboarder is doing a trick in the air.
000000031093.jpg,A man riding a skateboard up the side of a ramp.
000000073533.jpg,Two boys sitting on a bench looking at their cell phones.
000000046378.jpg,A cat eating a dead bird on the ground.
000000094871.jpg,A group of people standing around a group of sheep.
000000039670.jpg,A train traveling through a lush green forest.
000000042563.jpg,A yellow train traveling through a snow covered forest.
000000110359.jpg,A large jetliner flying through a blue sky.
000000060823.jpg,A large flock of birds and cows on the street.
000000083113.jpg,A couple of elephants standing on top of a dirt field.
000000015517.jpg,A city street filled with lots of buses.
000000097924.jpg,A horse being loaded into a trailer with two men.
000000046031.jpg,A laptop computer sitting on top of a desk.
000000076547.jpg,A man sitting at a picnic table working on his laptop.
000000012670.jpg,A crowd of people standing around each other.
000000058384.jpg,A herd of elephants standing next to each other on a field.
000000002587.jpg,A donut and a banana sitting on top of each other.
000000074058.jpg,A couple of bikes parked on the side of a street.
000000117914.jpg,A white toilet sitting next to a bath tub.
000000043435.jpg,A couple of people riding surfboards on top of waves.
000000104619.jpg,A baby giraffe standing in a dirt field.
000000036494.jpg,A large group of people sitting at tables in a restaurant.
000000112298.jpg,A man standing in front of a shelf holding a paddle.
000000090062.jpg,A cow standing in front of a pile of wood.
000000008277.jpg,A white plate topped with a bowl of food and a fork.
000000035197.jpg,A man riding a skateboard up the side of a ramp.
000000003156.jpg,A man kneeling down next to a toilet in a bathroom.
000000031248.jpg,A living room filled with furniture and a fire place.
000000046497.jpg,Two girls are sitting on a boat in the water.
000000007816.jpg,A man riding a white motorcycle down a street.
000000082715.jpg,A man riding a wave on top of a surfboard.
000000043737.jpg,A clock on a pole on a snowy street.
000000001353.jpg,A group of children riding on a small train.
000000029984.jpg,A group of people swimming in the ocean next to beach chairs.
000000087470.jpg,A herd of cattle walking down a road.
000000096549.jpg,A large passenger jet sitting on top of an airport runway.
000000032570.jpg,A man riding a wave on top of a surfboard.
000000074457.jpg,A man holding a surfboard on top of a beach.
000000113354.jpg,A group of zebras grazing in an enclosure.
000000117374.jpg,A couple of cats sitting next to a tree.
000000044590.jpg,A group of people on motorcycles on the side of the road.
000000017207.jpg,A yellow and white bus driving down a street.
000000018837.jpg,A green truck driving down a street next to tall buildings.
000000011615.jpg,A bunch of signs that are on a pole.
000000031322.jpg,A flock of swans swimming in the water near boats.
000000102820.jpg,A little girl sitting in front of a red and blue cake.
000000061960.jpg,A man laying on top of a bed wearing black stockings.
000000015956.jpg,A woman walking a horse inside of a barn.
000000017905.jpg,A man standing next to a traffic light.
000000098261.jpg,A couple of birds sitting on top of a tree branch.
000000111086.jpg,A parking lot full of cars next to a cruise ship.
000000002261.jpg,A man riding a wave on top of a surfboard.
000000109916.jpg,Two cakes in pans on a stove top.
000000084362.jpg,A little boy standing in a living room next to a window.
000000053624.jpg,An elephant is standing in the water at the zoo.
000000007818.jpg,A table set for a formal dinner with a vase of flowers.
000000050828.jpg,A hotel room with two beds and a desk.
000000104782.jpg,A stop sign with a street sign above it.
000000008629.jpg,A series of pictures showing different types of pizza.
000000066771.jpg,A man and woman sitting at a table looking at a cell phone.
000000011511.jpg,A couple of bronze statues sitting on top of a stone bench.
000000039785.jpg,A man riding a wave on top of a surfboard.
000000012748.jpg,A man holding a baby next to a horse.
000000099242.jpg,A man riding skis down a snow covered slope.
000000054592.jpg,A couple of people standing on top of a snow covered slope.
000000109798.jpg,Three donuts are stacked on top of each other.
000000012639.jpg,A young boy holding a baseball bat next to home plate.
000000042102.jpg,A man in a suit and tie holding a bag.
000000034417.jpg,A donut factory with a conveyor belt full of donuts.
000000024021.jpg,A black and white photo of a group of boys.
000000051610.jpg,A baby sitting on a bed looking at a laptop.
000000017029.jpg,A dog jumping in the air to catch a frisbee.
000000062554.jpg,A table topped with lots of plates of food.
000000035963.jpg,A cross with a statue of a teddy bear on top of it.
000000095899.jpg,A red stop sign sitting next to a blue street sign.
000000020059.jpg,Two zebras are grazing in a grassy field.
000000069106.jpg,Four zebras are standing in the dirt near a wall.
000000089296.jpg,A man in a red uniform swinging a baseball bat.
000000064084.jpg,A white plate topped with slices of bread.
000000109055.jpg,A cat sitting on the ground next to a bunch of bikes.
000000004495.jpg,"A living room with a couch, chair and television."
000000023359.jpg,A man flying through the air while riding a snowboard.
000000006771.jpg,A woman in a costume talking on a cell phone.
000000060770.jpg,A couple of zebra standing on top of a lush green field.
000000085823.jpg,A group of zebras grazing in a grassy field.
000000071451.jpg,A hotel bed with two folded towels on it.
000000079144.jpg,A couple of black bears standing on top of a log.
000000054628.jpg,A three tiered wedding cake sitting on top of a table.
000000014439.jpg,A group of people in a field flying a kite.
000000106048.jpg,A large white bus parked in front of a building.
000000033109.jpg,A large blue truck driving down a street.
000000001818.jpg,A baby zebra is nursing from its mother.
000000100283.jpg,A red stop sign sitting on the side of a road.
000000115245.jpg,A group of luggage sitting on top of a wooden floor.
000000013729.jpg,A group of people standing in a living room.
000000004765.jpg,A man riding a wave on top of a surfboard.
000000016598.jpg,A woman with blue hair is taking a selfie.
000000112378.jpg,Bananas and coconuts sit on a picnic table near the beach.
000000076468.jpg,Two women shaking hands on a tennis court.
000000068387.jpg,"A batter, catcher and umpire during a baseball game."
000000092124.jpg,A white toilet sitting next to a white sink.
000000005477.jpg,A large jetliner sitting on top of an airport tarmac.
000000049759.jpg,A group of people playing volleyball in a gym.
000000065350.jpg,A man riding a skateboard up the side of a ramp.
000000111179.jpg,A clock tower with a weather vane on top.
000000084650.jpg,A cat laying on top of a piece of luggage.
000000050331.jpg,A couple of potted plants sitting on top of a dirt field.
000000057597.jpg,A group of young people playing a game of soccer.
000000020333.jpg,A little boy wearing a tie sitting in front of a bucket.
000000002299.jpg,A black and white photo of a group of children.
000000017115.jpg,A couple of zebra standing next to each other.
000000038576.jpg,A desktop computer sitting on top of a desk.
000000065288.jpg,A group of birds sitting on top of a yellow chair.
000000081738.jpg,A person cutting a birthday cake with a knife.
000000053626.jpg,A group of people standing on top of a snow covered slope.
000000022969.jpg,A couple of giraffe standing on top of a lush green field.
000000062355.jpg,A baseball player standing next to home plate.
000000102411.jpg,A couple of people riding on the back of a motorcycle.
000000016249.jpg,A man sitting on a bench reading a newspaper.
000000076625.jpg,A blue train pulling into a train station.
000000001490.jpg,A man riding a paddle board on top of a body of water.
000000095707.jpg,A table topped with a cake covered in frosting.
000000025560.jpg,A cat standing on top of a TV stand.
000000022396.jpg,A large jetliner flying through a blue sky next to the moon.
000000110638.jpg,A baby elephant standing next to an adult elephant.
000000079565.jpg,A couple of giraffe standing on top of a dry grass field.
000000090108.jpg,"A bathroom with a sink, toilet and bathtub."
000000060449.jpg,A laptop computer sitting on top of a glass table.
000000027620.jpg,A desk with a glass top and a laptop on it.
000000114770.jpg,A military jeep and motorcycle on display in a museum.
000000057232.jpg,A stack of baseball bats and a book on a chair.
000000007511.jpg,A man flying a kite on a sandy beach.
000000033005.jpg,A man holding a tennis racquet on a tennis court.
000000051314.jpg,A man riding a wave on top of a surfboard.
000000067896.jpg,A large clock hanging from the side of a building.
000000076261.jpg,Two birds flying in the sky over a mountain range.
000000085089.jpg,Three wine glasses filled with different colored wine.
000000086956.jpg,A group of people standing next to each other.
000000104612.jpg,A black plate topped with pasta and vegetables.
000000041633.jpg,A red pickup truck parked in a parking lot.
000000050326.jpg,A man standing on a beach next to the ocean.
000000117645.jpg,A man riding a snowboard down a snow covered slope.
000000066231.jpg,A group of chefs preparing food in a large kitchen.
000000101022.jpg,A snow covered road sign in front of a forest.
000000097679.jpg,A couple of cars parked next to each other.
000000033638.jpg,A woman standing in front of an old fashioned stove.
000000087244.jpg,A fire hydrant sitting on the side of a road.
000000119088.jpg,A group of men playing with a frisbee in the water.
000000045472.jpg,A pineapple next to a plate of oranges.
000000088218.jpg,A traffic light and street signs on a pole.
000000079034.jpg,A blue fire hydrant sitting in the middle of a field.
000000094751.jpg,A traffic light sitting on the side of a road.
000000019432.jpg,A man standing on a tennis court holding a racquet.
000000076416.jpg,A double decker bus driving past a tall building.
000000118515.jpg,A small kitten sitting on a wooden bench.
000000060052.jpg,A woman holding an umbrella in her right hand.
000000002153.jpg,A baseball player holding a bat on top of a field.
000000050679.jpg,An orange sitting on the side of a road.
000000049060.jpg,A black and white photo of a train pulling into a station.
000000084664.jpg,"A white plate topped with meat, potatoes and an egg."
000000054931.jpg,A woman holding a rope in front of a white horse.
000000032887.jpg,A man with a backpack standing in front of a stairway.
000000007795.jpg,A hotel room with two beds and a sliding glass door.
000000039484.jpg,A city street filled with lots of traffic.
000000057725.jpg,A bridge over a river with a building in the background.
000000017182.jpg,A wooden desk with books on top of it.
000000002532.jpg,A person standing on skis in the snow.
000000026204.jpg,A city street filled with lots of traffic.
000000006012.jpg,A bunch of bananas and an apple in a bowl.
000000039914.jpg,A woman and child flying a kite in a field.
000000105335.jpg,A person holding a bowl of food in their hand.
000000118405.jpg,A street sign on a pole in front of a store.
000000107554.jpg,A blue surfboard laying on top of a green wheelbarrow.
000000093717.jpg,A man riding a skateboard up the side of a ramp.
000000092939.jpg,A man and a woman cutting a cake together.
000000035062.jpg,A child laying in a bed covered in a blanket.
000000094326.jpg,A statue of a man sitting on a bench holding a newspaper.
000000074860.jpg,A snowboarder is sitting in the snow on his board.
000000118921.jpg,A woman in a pink jacket skiing down a snow covered slope.
000000006954.jpg,A group of young children sitting on top of a lush green field.
000000072281.jpg,A man doing a trick on a skateboard.
000000011813.jpg,A tripod with a camera on top of it.
000000004395.jpg,A man wearing a white shirt and a striped tie.
000000094157.jpg,A tall clock tower towering over a city.
000000032038.jpg,A large pizza sitting on top of a wooden table.
000000013597.jpg,A piece of chocolate cake on a white plate.
000000009448.jpg,A little girl holding a blue umbrella over her head.
000000060507.jpg,A baseball player swinging a bat at a ball.
000000018491.jpg,A group of men on a field playing baseball.
000000024567.jpg,A man in a hat is holding a tray of hot dogs.
000000078823.jpg,A dog sitting on the back of a car in a parking lot.
000000091619.jpg,A red stop sign sitting on the side of a road.
000000036844.jpg,A living room filled with furniture and lots of windows.
000000059044.jpg,A group of people standing around each other.
000000060090.jpg,A yellow train pulling into a train station.
000000056344.jpg,"A desk with two monitors, a keyboard, a mouse and a cell phone."
000000061333.jpg,An orange and white cat laying on top of a blanket.
000000049810.jpg,An orange and white cat sitting on top of a wooden floor.
000000099114.jpg,A group of people crossing a street at a crosswalk.
000000044260.jpg,Apples growing on a tree in the fall.
000000025228.jpg,A woman sitting on a surfboard in the ocean.
000000056545.jpg,A gray bird perched on a tree branch.
000000005503.jpg,A person standing in front of a toilet with the seat up.
000000089271.jpg,A cat wearing an orange and black hat.
000000084492.jpg,A man riding a skateboard down a metal rail.
000000108495.jpg,A woman sitting on a skateboard on a sidewalk.
000000012667.jpg,A banana sitting on a phone on a desk.
000000037751.jpg,A person riding a motorcycle on a dirt road.
000000027932.jpg,A baseball mitt and hat sitting on the ground.
000000088265.jpg,A horse pulling a cart down a dirt road.
